time, chan7, label
1490400058620024919,-187500.022352, 0
1490400058624039888,-187500.022352, 0
1490400058627983093,-187500.022352, 0
1490400058631958961,-187500.022352, 0
1490400058635081052,-187500.022352, 0
1490400058638972043,-187500.022352, 0
1490400058643068075,-187500.022352, 0
1490400058647108078,-187500.022352, 0
1490400058652062892,-187500.022352, 0
1490400058656063079,-187500.022352, 0
1490400058660021066,-187500.022352, 0
1490400058663017034,-187500.022352, 0
1490400058667069911,-187500.022352, 0
1490400058671040058,-187500.022352, 0
1490400058675185918,-187500.022352, 0
1490400058680118083,-187500.022352, 0
1490400058684088945,-187500.022352, 0
1490400058688096046,-187500.022352, 0
1490400058691073894,-187500.022352, 0
1490400058695168018,-187500.022352, 0
1490400058699116945,-187500.022352, 0
1490400058703104972,-187500.022352, 0
1490400058708162069,-187500.022352, 0
1490400058712121009,-187500.022352, 0
1490400058715277910,-187500.022352, 0
1490400058719125986,-187500.022352, 0
1490400058723119974,-187500.022352, 0
1490400058727297067,-187500.022352, 0
1490400058731194972,-187500.022352, 0
1490400058736123085,-187500.022352, 0
1490400058740433931,-187500.022352, 0
1490400058743344068,-187500.022352, 0
1490400058747169017,-187500.022352, 0
1490400058751176118,-187500.022352, 0
1490400058755265951,-187500.022352, 0
1490400058759207963,-187500.022352, 0
1490400058763318061,-187500.022352, 0
1490400058768374919,-187500.022352, 0
1490400058771222114,-187500.022352, 0
1490400058775393009,-187500.022352, 0
1490400058779258966,-187500.022352, 0
1490400058783288002,-187500.022352, 0
1490400058787264108,-187500.022352, 0
1490400058791346073,-187500.022352, 0
1490400058796243906,-187500.022352, 0
1490400058799355983,-187500.022352, 0
1490400058803345918,-187500.022352, 0
1490400058807293891,-187500.022352, 0
1490400058811291933,-187500.022352, 0
1490400058815288066,-187500.022352, 0
1490400058819303989,-187500.022352, 0
1490400058824332952,-187500.022352, 0
1490400058827306985,-187500.022352, 0
1490400058831279993,-187500.022352, 0
1490400058835484981,-187500.022352, 0
1490400058839410066,-187500.022352, 0
1490400058843343973,-187500.022352, 0
1490400058847358942,-187500.022352, 0
1490400058852483034,-187500.022352, 0
1490400058855436086,-187500.022352, 0
1490400058859337091,-187500.022352, 0
1490400058863348007,-187500.022352, 0
1490400058867552995,-187500.022352, 0
1490400058871419906,-187500.022352, 0
1490400058875597000,-187500.022352, 0
1490400058879446983,-187500.022352, 0
1490400058882438898,-187500.022352, 0
1490400058886595010,-187500.022352, 0
1490400058891547918,-187500.022352, 0
1490400058895572900,-187500.022352, 0
1490400058899573087,-187500.022352, 0
1490400058903441905,-187500.022352, 0
1490400058906572103,-187500.022352, 0
1490400058910530090,-187500.022352, 0
1490400058914592027,-187500.022352, 0
1490400058919542074,-187500.022352, 0
1490400058923607110,-187500.022352, 0
1490400058927632093,-187500.022352, 0
1490400058931670904,-187500.022352, 0
1490400058934662103,-187500.022352, 0
1490400058938648939,-187500.022352, 0
1490400058942564010,-187500.022352, 0
1490400058946644067,-187500.022352, 0
1490400058951647043,-187500.022352, 0
1490400058955652952,-187500.022352, 0
1490400058959547996,-187500.022352, 0
1490400058962621927,-187500.022352, 0
1490400058966609954,-187500.022352, 0
1490400058970529079,-187500.022352, 0
1490400058974721908,-187500.022352, 0
1490400058979636907,-187500.022352, 0
1490400058983694076,-187500.022352, 0
1490400058987693071,-187500.022352, 0
1490400058990592002,-187500.022352, 0
1490400058994738101,-187500.022352, 0
1490400058998569965,-187500.022352, 0
1490400059002628087,-187500.022352, 0
1490400059007611036,-187500.022352, 0
1490400059011666059,-187500.022352, 0
1490400059015642881,-187500.022352, 0
1490400059018642902,-187500.022352, 0
1490400059022598981,-187500.022352, 0
1490400059026751041,-187500.022352, 0
1490400059030622959,-187500.022352, 0
1490400059035684108,-187500.022352, 0
1490400059039633989,-187500.022352, 0
1490400059042722940,-187500.022352, 0
1490400059046742916,-187500.022352, 0
1490400059050661087,-187500.022352, 0
1490400059054600954,-187500.022352, 0
1490400059058728933,-187500.022352, 0
1490400059062670946,-187500.022352, 0
1490400059067657947,-187500.022352, 0
1490400059070717096,-187500.022352, 0
1490400059074717998,-187500.022352, 0
1490400059078799009,-187500.022352, 0
1490400059082704067,-187500.022352, 0
1490400059086812019,-187500.022352, 0
1490400059090764045,-187500.022352, 0
1490400059095792055,-187500.022352, 0
1490400059098798990,-187500.022352, 0
1490400059102783918,-187500.022352, 0
1490400059106827020,-187500.022352, 0
1490400059110740900,-187500.022352, 0
1490400059114825963,-187500.022352, 0
1490400059118849992,-187500.022352, 0
1490400059123857021,-187500.022352, 0
1490400059126858949,-187500.022352, 0
1490400059130825042,-187500.022352, 0
1490400059134852886,-187500.022352, 0
1490400059138873100,-187500.022352, 0
1490400059142887115,-187500.022352, 0
1490400059146895885,-187500.022352, 0
1490400059151881933,-187500.022352, 0
1490400059154890060,-187500.022352, 0
1490400059158880949,-187500.022352, 0
1490400059162890911,-187500.022352, 0
1490400059166843891,-187500.022352, 0
1490400059170877933,-187500.022352, 0
1490400059174943923,-187500.022352, 0
1490400059179941892,-187500.022352, 0
1490400059182845115,-187500.022352, 0
1490400059185884952,-187500.022352, 0
1490400059190891027,-187500.022352, 0
1490400059194876909,-187500.022352, 0
1490400059198976039,-187500.022352, 0
1490400059202912092,-187500.022352, 0
1490400059206969022,-187500.022352, 0
1490400059209945917,-187500.022352, 0
1490400059213968992,-187500.022352, 0
1490400059218913078,-187500.022352, 0
1490400059222959041,-187500.022352, 0
1490400059226908922,-187500.022352, 0
1490400059230995893,-187500.022352, 0
1490400059233941078,-187500.022352, 0
1490400059238012075,-187500.022352, 0
1490400059241920948,-187500.022352, 0
1490400059246048927,-187500.022352, 0
1490400059250930070,-187500.022352, 0
1490400059254949092,-187500.022352, 0
1490400059258958101,-187500.022352, 0
1490400059262008905,-187500.022352, 0
1490400059266108989,-187500.022352, 0
1490400059270021915,-187500.022352, 0
1490400059274015903,-187500.022352, 0
1490400059278129100,-187500.022352, 0
1490400059283046007,-187500.022352, 0
1490400059287178039,-187500.022352, 0
1490400059290184974,-187500.022352, 0
1490400059294131994,-187500.022352, 0
1490400059298077106,-187500.022352, 0
1490400059302134990,-187500.022352, 0
1490400059307111978,-187500.022352, 0
1490400059311120033,-187500.022352, 0
1490400059315128087,-187500.022352, 0
1490400059318135023,-187500.022352, 0
1490400059322118997,-187500.022352, 0
1490400059326133966,-187500.022352, 0
1490400059330130100,-187500.022352, 0
1490400059335052967,-187500.022352, 0
1490400059339323043,-187500.022352, 0
1490400059342231988,-187500.022352, 0
1490400059346167087,-187500.022352, 0
1490400059350166082,-187500.022352, 0
1490400059354219913,-187500.022352, 0
1490400059358328104,-187500.022352, 0
1490400059363166093,-187500.022352, 0
1490400059367337942,-187500.022352, 0
1490400059371234893,-187500.022352, 0
1490400059374351978,-187500.022352, 0
1490400059378405094,-187500.022352, 0
1490400059382272958,-187500.022352, 0
1490400059386339902,-187500.022352, 0
1490400059391211032,-187500.022352, 0
